x                        chebyshev                chebyshev-jackson       
-8.41841841841841854e-01 +1.31154461021955604e-02 +1.79315582742145541e-04
-8.39839839839839897e-01 +1.01415450607600377e-02 +1.85123208818638307e-04
-8.37837837837837829e-01 +6.79467048393317397e-03 +1.90465223215141588e-04
-8.35835835835835872e-01 +3.19421299950023441e-03 +1.95260187744572544e-04
-8.33833833833833804e-01 -5.33854792835630754e-04 +1.99446367611377795e-04
-8.31831831831831847e-01 -4.26141122562384567e-03 +2.02984409001516486e-04
-8.29829829829829890e-01 -7.86251651763653081e-03 +2.05859333685387558e-04
-8.27827827827827822e-01 -1.12175062956181848e-02 +2.08081787360370196e-04
-8.25825825825825866e-01 -1.42167278213318204e-02 +2.09688501161153784e-04
-8.23823823823823798e-01 -1.67638173314120231e-02 +2.10741949158099739e-04
-8.21821821821821841e-01 -1.87784370498847442e-02 +2.11329208092025933e-04
-8.19819819819819884e-01 -2.01984117118503836e-02 +2.11560048423986569e-04
-8.17817817817817816e-01 -2.09812261185935989e-02 +2.11564307431966192e-04
-8.15815815815815748e-01 -2.11048666569034760e-02 +2.11488615023958104e-04
-8.13813813813813791e-01 -2.05680102513736696e-02 +2.11492560694914733e-04
-8.11811811811811834e-01 -1.93895833468898937e-02 +2.11744405230029908e-04
-8.09809809809809877e-01 -1.76077307924418225e-02 +2.12416453041819331e-04
-8.07807807807807809e-01 -1.52782495586227252e-02 +2.13680210168654128e-04
-8.05805805805805742e-01 -1.24725548021140664e-02 +2.15701458821770942e-04
-8.03803803803803785e-01 -9.27525571328113863e-03 +2.18635381854792588e-04
-8.01801801801801828e-01 -5.78142575658702196e-03 +2.22621869675476702e-04
-7.99799799799799871e-01 -2.09365632823366177e-03 +2.27781137983773529e-04
-7.97797797797797803e-01 +1.68101542358012335e-03 +2.34209777482952131e-04
-7.95795795795795735e-01 +5.43421471129140743e-03 +2.41977346579436148e-04
-7.93793793793793778e-01 +9.05928646230425016e-03 +2.51123605349956591e-04
-7.91791791791791821e-01 +1.24542205720311050e-02 +2.61656474033200581e-04
-7.89789789789789753e-01 +1.55243709203271019e-02 +2.73550782380393986e-04
-7.87787787787787797e-01 +1.81849027798121066e-02 +2.86747857763558489e-04
-7.85785785785785729e-01 +2.03629132430427906e-02 +3.01155980426570657e-04
-7.83783783783783772e-01 +2.19991801986565427e-02 +3.16651714099225323e-04
-7.81781781781781815e-01 +2.30495068645812928e-02 +3.33082099833070799e-04
-7.79779779779779747e-01 +2.34856406176445764e-02 +3.50267680777283097e-04
-7.77777777777777790e-01 +2.32957565372949871e-02 +3.68006306128876304e-04
-7.75775775775775722e-01 +2.24845074222321251e-02 +3.86077644061622038e-04
-7.73773773773773765e-01 +2.10726527848848488e-02 +4.04248316422550769e-04
-7.71771771771771808e-01 +1.90962892532701156e-02 +4.22277552741823214e-04
-7.69769769769769741e-01 +1.66057137201979232e-02 +4.39923247907925141e-04
-7.67767767767767784e-01 +1.36639583195710679e-02 +4.56948296979564628e-04
-7.65765765765765716e-01 +1.03450427593240191e-02 +4.73127072249668323e-04
-7.63763763763763759e-01 +6.73199461829998569e-03 +4.88251901979153136e-04
-7.61761761761761802e-01 +2.91469187457965573e-03 +5.02139407315249642e-04
-7.59759759759759734e-01 -1.01241583491218368e-03 +5.14636553818337283e-04
-7.57757757757757777e-01 -4.95264989675547884e-03 +5.25626276777491075e-04
-7.55755755755755709e-01 -8.80945254418752377e-03 +5.35032545017521954e-04
-7.53753753753753752e-01 -1.24886888181747202e-02 +5.42824736117719642e-04
-7.51751751751751796e-01 -1.59008486310515673e-02 +5.49021206710353926e-04
