problem n solver mem(MB) fill-in t-setup c-setup n_rhs t-solve c-solve
bcsstk17.mtx         10974 LL   22  6.9    0.5    0.5 2048   15.7   30.3
bcsstk17.mtx         10974 LU   28  8.7    0.7    0.9  256    2.2    4.3
bcsstk17.mtx         10974 LU   28  8.7    0.7    0.9  512    4.7    9.4
bcsstk17.mtx         10974 LU   28  8.7    0.7    0.9 1024   10.0   19.6
bcsstk17.mtx         10974 LU   28  8.7    0.7    0.9 2048   20.7   40.2
bcsstk17.mtx         10974 DS   48 14.8    4.5    7.6  256    3.5    6.9
bcsstk17.mtx         10974 DS   48 14.8    4.5    7.6  512    4.2    8.3
bcsstk17.mtx         10974 DS   48 14.8    4.5    7.6 1024    6.4   11.9
bcsstk17.mtx         10974 DS   48 14.8    4.5    7.6 2048    8.8   17.1
problem n solver mem(MB) fill-in t-setup c-setup n_rhs t-solve c-solve
bcsstk18.mtx         11948 LL   20 18.3    0.5    0.5  256    1.5    3.0
bcsstk18.mtx         11948 LL   20 18.3    0.5    0.5  512    3.2    6.4
bcsstk18.mtx         11948 LL   20 18.3    0.5    0.5 1024    6.9   13.3
bcsstk18.mtx         11948 LL   20 18.3    0.5    0.5 2048   14.5   27.8
bcsstk18.mtx         11948 LU   24 21.8    0.6    0.8  256    1.9    3.7
bcsstk18.mtx         11948 LU   24 21.8    0.6    0.8  512    4.0    7.8
bcsstk18.mtx         11948 LU   24 21.8    0.6    0.8 1024    8.3   16.3
bcsstk18.mtx         11948 LU   24 21.8    0.6    0.8 2048   17.6   33.3
bcsstk18.mtx         11948 DS   60 53.6    4.4    7.8  256    3.7    7.4
bcsstk18.mtx         11948 DS   60 53.6    4.4    7.8  512    4.5    9.0
bcsstk18.mtx         11948 DS   60 53.6    4.4    7.8 1024    7.0   12.9
bcsstk18.mtx         11948 DS   60 53.6    4.4    7.8 2048    9.7   19.1
problem n solver mem(MB) fill-in t-setup c-setup n_rhs t-solve c-solve
bcsstk21.mtx          3600 LL    2 11.2    0.0    0.0  256    0.2    0.3
bcsstk21.mtx          3600 LL    2 11.2    0.0    0.0  512    0.4    0.7
bcsstk21.mtx          3600 LL    2 11.2    0.0    0.0 1024    0.9    1.8
bcsstk21.mtx          3600 LL    2 11.2    0.0    0.0 2048    2.2    4.1
bcsstk21.mtx          3600 LU    2 11.2    0.0    0.1  256    0.2    0.4
bcsstk21.mtx          3600 LU    2 11.2    0.0    0.1  512    0.4    0.7
bcsstk21.mtx          3600 LU    2 11.2    0.0    0.1 1024    0.9    1.8
bcsstk21.mtx          3600 LU    2 11.2    0.0    0.1 2048    2.1    4.0
bcsstk21.mtx          3600 DS   23 114.1    0.3    0.7  256    0.2    0.5
bcsstk21.mtx          3600 DS   23 114.1    0.3    0.7  512    0.4    0.8
bcsstk21.mtx          3600 DS   23 114.1    0.3    0.7 1024    1.1    1.8
bcsstk21.mtx          3600 DS   23 114.1    0.3    0.7 2048    1.5    2.9
problem n solver mem(MB) fill-in t-setup c-setup n_rhs t-solve c-solve
bcsstk23.mtx          3134 LL   10 31.1    0.2    0.2  256    0.7    1.3
bcsstk23.mtx          3134 LL   10 31.1    0.2    0.2  512    1.4    2.7
bcsstk23.mtx          3134 LL   10 31.1    0.2    0.2 1024    2.9    5.7
bcsstk23.mtx          3134 LL   10 31.1    0.2    0.2 2048    5.9   11.3
bcsstk23.mtx          3134 LU   12 35.7    0.3    0.5  256    0.8    1.5
bcsstk23.mtx          3134 LU   12 35.7    0.3    0.5  512    1.6    3.2
bcsstk23.mtx          3134 LU   12 35.7    0.3    0.5 1024    3.4    6.7
bcsstk23.mtx          3134 LU   12 35.7    0.3    0.5 2048    7.0   12.9
bcsstk23.mtx          3134 DS   15 43.7    0.5    1.0  256    0.4    0.9
bcsstk23.mtx          3134 DS   15 43.7    0.5    1.0  512    0.6    1.2
bcsstk23.mtx          3134 DS   15 43.7    0.5    1.0 1024    1.4    2.5
bcsstk23.mtx          3134 DS   15 43.7    0.5    1.0 2048    1.7    3.3
problem n solver mem(MB) fill-in t-setup c-setup n_rhs t-solve c-solve
bcsstk24.mtx          3562 LL    6  5.3    0.1    0.1  256    0.4    0.8
bcsstk24.mtx          3562 LL    6  5.3    0.1    0.1  512    0.9    1.8
bcsstk24.mtx          3562 LL    6  5.3    0.1    0.1 1024    1.9    3.8
bcsstk24.mtx          3562 LL    6  5.3    0.1    0.1 2048    4.0    7.6
bcsstk24.mtx          3562 LU    9  7.6    0.2    0.3  256    0.7    1.4
